Linear Acceleration,Angular Velocity,Orientation
"0.11, 0.08, 9.70","-7.99, 1.33, 0.00","0.36, 0.00, -0.00, 0.93"
"-0.13, 0.06, 9.70","2.66, 0.00, -7.99","0.36, 0.00, -0.00, 0.93"
"-0.10, 0.05, 9.70","0.00, 1.33, 0.00","0.36, 0.00, -0.00, 0.93"
"-0.11, 0.06, 9.71","-0.00, 0.00, -0.00","0.36, 0.00, -0.00, 0.93"
"-0.10, 0.06, 9.70","2.66, 0.00, -7.99","0.36, 0.00, -0.00, 0.93"
"-0.13, 0.05, 9.70","-7.99, 0.00, 2.66","0.36, 0.00, -0.00, 0.93"
"-0.12, 0.07, 9.68","0.00, 1.33, -0.00","0.36, 0.00, -0.00, 0.93"
"-0.10, 0.03, 9.68","2.66, 1.33, -0.00","0.36, 0.00, -0.00, 0.93"
"0.14, 0.09, 9.68","0.00, -9.32, 0.00","0.36, 0.00, -0.00, 0.93"
"0.10, 0.05, 9.70","2.66, -0.00, 2.66","0.36, 0.00, -0.00, 0.93"
"0.10, 0.10, 9.72","-0.00, -0.00, -0.00","0.36, 0.00, -0.00, 0.93"
"0.11, 0.05, 9.72","-7.99, 1.33, -7.99","0.36, 0.00, -0.00, 0.93"
"0.10, 0.07, 9.71","-7.99, 1.33, -7.99","0.36, 0.00, -0.00, 0.93"
"0.11, 0.05, 9.68","2.66, -9.32, -0.00","0.36, 0.00, -0.00, 0.93"
"0.09, 0.09, 9.67","0.00, 0.00, 2.66","0.36, 0.00, -0.00, 0.93"
"0.13, 0.05, 9.69","2.66, 0.00, 0.00","0.36, 0.00, -0.00, 0.93"
"0.12, 0.07, 9.69","2.66, 0.00, 2.66","0.36, 0.00, -0.00, 0.93"
"-0.12, 0.08, 9.69","2.66, 0.00, 2.66","0.36, 0.00, -0.00, 0.93"
"0.12, 0.09, 9.70","-7.99, 1.33, -7.99","0.36, 0.00, -0.00, 0.93"
"-0.09, 0.05, 9.74","0.00, 1.33, -0.00","0.36, 0.00, -0.00, 0.93"
"-0.09, 0.05, 9.70","-7.99, 0.00, -0.00","0.36, 0.00, -0.00, 0.93"
"-0.10, 0.06, 9.74","-0.00, 1.33, -0.00","0.36, 0.00, -0.00, 0.93"
